区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
天通苑租房,天通苑本六区,天通苑本六区 中等装修 南北通透两居室 随时看房,2室1厅,91平米,5000,高楼层(共6层),2001年建板楼,南 北,2017.07.25,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101848946.html
六铺炕租房,六铺炕一区,六铺炕一区 2室1厅 7000元,2室1厅,57平米,7000,高楼层(共5层),1981年建板楼,南 北,2017.07.26,8, 距离8号线安德里北街站384米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101850709.html
甘家口租房,阜成路8号院,航天部家属楼  精装修业 南北2居 ,2室1厅,51平米,8500,低楼层(共5层),1975年建板楼,南 北,2017.07.26,6, 距离9号线白堆子站607米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101850875.html
广安门租房,荣丰2008,广安门 达官营 荣丰2008开间 看房随时 拎包入住,1室0厅,25平米,3500,低楼层(共26层),2006年建塔楼,西,2017.07.25,13, 距离7号线达官营站827米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101850934.html
西红门租房,鸿坤理想城礼域府,鸿坤理想城礼域府 2室1厅 5800元,2室1厅,93平米,5800,高楼层(共21层),2012年建板楼,南 北,2017.07.22,6, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845503.html
交道口租房,交道口东大街,交道口东大街 1室1厅 6800元,1室1厅,52平米,6800,中楼层(共11层),2002年建板塔结合,北,2017.07.23,11, 距离5号线北新桥站302米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101845519.html
西三旗租房,旗胜家园,旗胜家园 2室1厅 5700元,2室1厅,88平米,5700,低楼层(共28层),2009年建板塔结合,南,2017.07.23,6, 距离8号线霍营站311米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845666.html
滨河西区租房,皓月园,皓月园有一家具家电全齐正规两居室出租,2室1厅,62平米,3500,高楼层(共14层),2006年建板塔结合,东南,2017.07.22,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101845826.html
劲松租房,华腾园,华腾园 2室1厅 8000元,2室1厅,88平米,8000,高楼层(共28层),2000年建塔楼,南 西,2017.07.24,8, 距离10号线劲松站505米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101845984.html
菜户营租房,考拉社区,考拉社区 2室2厅 6800元,2室2厅,88平米,6800,高楼层(共21层),2005年建塔楼,西南,2017.07.26,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101847039.html
立水桥租房,东辰小区,东辰小区 2室2厅 4800元,2室2厅,94平米,4800,低楼层(共6层),1998年建板楼,南 北,2017.07.26,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847389.html
双井租房,富力城C区,双井富力城C区精致二次装修东南三居室 随时可看可签,3室2厅,137平米,15500,中楼层(共19层),2005年建塔楼,东南,2017.07.23,7, 距离10号线双井站641米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101824096.html
临河里租房,海棠湾二期,海棠湾精装观湖小三居出租家具家电可配齐业主人好相处,3室1厅,101平米,5600,中楼层(共21层),2011年建板塔结合,西南,2017.07.19,6, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101824236.html
马家堡租房,左右坊,4号线10号线地铁站双地铁精装修,1室0厅,37平米,4000,低楼层(共16层),2009年建板楼,东,2017.07.26,12, 距离4号线公益西桥站380米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101824366.html
三元桥租房,曙光里,三元桥 西坝河 太阳宫两居室，交通便利 看房方便,2室1厅,57平米,5600,高楼层(共5层),1995年建板楼,南,2017.07.26,6, 距离机场线三元桥站989米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101824701.html
杨庄租房,茂华景公阁,茂华景公阁精装南向两居室精装全齐,2室1厅,85平米,8000,低楼层(共13层),2007年建板楼,南,2017.07.25,9, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101825167.html
回龙观租房,龙腾苑四区,龙腾苑四区两居出租，随时入住，看房随时,2室1厅,94平米,5000,中楼层(共6层),2003年建板楼,南,2017.07.26,7, 距离13号线回龙观站838米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101825438.html
方庄租房,芳城园一区,芳城园一区东西向两居室，大客厅，交通方便,3室1厅,77平米,6200,低楼层(共26层),1990年建板塔结合,北,2017.07.24,5, 距离14号线(东段)方庄站893米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818187.html
大红门租房,远洋自然,远洋小区南北三居室，无遮挡视野好,3室2厅,145平米,8600,中楼层(共11层),2007年建板楼,南 北,2017.07.26,7, 距离10号线角门东站912米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101818781.html
黄村北租房,保利茉莉公馆,保利经典三居 家电齐全 拎包入住 业主长租,3室2厅,89平米,6500,高楼层(共22层),2010年建板塔结合,南 北,2017.07.27,6, 距离4号线高米店北站785米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101819599.html
西罗园租房,西罗园三区,西罗园三区 2室1厅 5200元,2室1厅,58平米,5200,中楼层(共18层),1980年建塔楼,西北,2017.07.25,12, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101819764.html
军博租房,电信小区,此房是电信小区南北通透正规的两居室,2室1厅,57平米,5500,低楼层(共6层),1989年建板楼,南 北,2017.07.24,8, 距离9号线北京西站站763米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101820376.html
鲁谷租房,远洋山水,远洋山水 南北三居 精装全齐 随时看 随时入住 带车位,3室2厅,141平米,13000,低楼层(共26层),2007年建板塔结合,南 北,2017.07.27,8, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821534.html
西三旗租房,新康园,新康园北向两居室 电梯房 交通方便 随时入住,2室1厅,91平米,5500,高楼层(共24层),2003年建塔楼,北,2017.07.21,7, 距离8号线育新站801米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101822273.html
朝青租房,青年汇佳园,朝阳朝青大悦城   青年汇佳园   开间,1室0厅,38平米,5000,中楼层(共20层),2006年建塔楼,北,2017.07.21,10, 距离6号线青年路站670米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101835823.html
公主坟租房,翠微中里,翠微中里精装双南两居带车位随时可看租期三年以上可议,2室0厅,48平米,5800,中楼层(共6层),1988年建板楼,南,2017.07.25,11, 距离1号线万寿路站991米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101836129.html
和平里租房,和平街十四区,和平街十四区 南北通透2居 可以长租,2室1厅,62平米,5700,高楼层(共18层),1987年建塔楼,南,2017.07.24,6, 距离5号线和平里北街站965米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101836551.html
石佛营租房,炫特嘉园三期,炫特嘉园三期 2室1厅 7800元,2室1厅,93平米,7800,中楼层(共24层),2006年建板塔结合,南 北,2017.07.21,6, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837177.html
马家堡租房,旭日嘉园,旭日嘉园 1室1厅 4700元,1室1厅,54平米,4700,高楼层(共24层),2002年建塔楼,北,2017.07.27,13, 距离4号线角门西站261米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837021.html
四惠租房,壹线国际,壹线国际 1室0厅 5500元,1室0厅,50平米,5500,低楼层(共9层),2008年建板楼,西,2017.07.21,12, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837453.html
三里屯租房,中纺里,中纺里 新装修两居室 看房方便,2室1厅,49平米,7000,中楼层(共20层),1992年建塔楼,东南,2017.07.16,14, 距离6号线东大桥站688米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101812328.html
城子租房,和平路33号院,南北通透两居室 干净整洁 环境好,2室1厅,65平米,2600,高楼层(共6层),1986年建板楼,南 北,2017.07.16,6, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101816237.html
阜成门租房,扣钟北里,扣钟北里 1室1厅 5600元,1室1厅,44平米,5600,低楼层(共16层),1989年建板楼,东,2017.07.25,15, 距离6号线车公庄西站721米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101818426.html
鲁谷租房,远洋山水,远洋山水 南区 精装小两居室 看房有钥匙 家具家电齐全,2室1厅,67平米,5800,低楼层(共26层),2007年建板塔结合,西,2017.07.22,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101842969.html
卢沟桥租房,晓月新城,晓月新城  一居室  诚心出租,1室1厅,55平米,3200,中楼层(共24层),2008年建塔楼,东南,2017.07.26,8, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845344.html
安贞租房,安华西里一区,安华西里一区一居室随时看房，交通方便,1室1厅,43平米,4500,低楼层(共16层),1986年建板塔结合,南,2017.07.26,5, 距离8号线安华桥站341米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837773.html
朝青租房,润枫水尚,润枫水尚精装高层南向一居 家具齐全有钥匙随时看房 ,1室1厅,67平米,7600,高楼层(共15层),2007年建板楼,南,2017.07.26,8, 距离6号线青年路站802米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101832959.html
北京南站租房,开阳里四区,北京南站 板楼 南北朝向 低楼层两居室,2室1厅,63平米,5000,低楼层(共6层),2001年建板楼,南 北,2017.07.26,5, 距离4号线北京南站站965米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101833398.html
双榆树租房,双榆树西里,双榆树西里优质两居室，可以长租，价格可以谈。,2室1厅,59平米,7000,中楼层(共16层),1985年建塔楼,西南,2017.07.26,19, 距离4号线人民大学站254米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833468.html
三元桥租房,曙光里,三元桥  家具家电可配  一层带小院 看房方便,1室1厅,36平米,5500,低楼层(共4层),1986年建板楼,东南 西南,2017.07.26,11, 距离10号线太阳宫站884米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833497.html
西三旗租房,上奥世纪中心,上奥世纪 精装二改三 随时可看 诚心出租,3室1厅,91平米,5600,高楼层(共18层),2011年建板楼,南,2017.07.25,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101805652.html
果园租房,果园北区,果园北区   南北通透三居室   中间楼层   随时可看,3室1厅,90平米,3500,中楼层(共6层),1998年建板楼,南 北,2017.07.23,4, 随时看房,https://bj.lianjia.com/zufang/101101807547.html
右安门外租房,玉林东里三区,丰台区右安门外大街玉林东里三区南北通透两居室,2室1厅,57平米,4700,中楼层(共6层),1990年建板楼,南 北,2017.07.27,15, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101808341.html
潘家园租房,松榆西里,松榆西里  随时可看 简装正规一居室  中高楼层,1室1厅,44平米,4000,中楼层(共6层),1992年建板楼,南,2017.07.27,10, 距离10号线潘家园站767米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101809363.html
西红门租房,鸿坤理想城礼域府,鸿坤理想城礼域府 2室1厅 5800元,2室1厅,93平米,5800,高楼层(共21层),2012年建板楼,南 北,2017.07.22,6, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845503.html
交道口租房,交道口东大街,交道口东大街 1室1厅 6800元,1室1厅,52平米,6800,中楼层(共11层),2002年建板塔结合,北,2017.07.23,11, 距离5号线北新桥站302米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101845519.html
西三旗租房,旗胜家园,旗胜家园 2室1厅 5700元,2室1厅,88平米,5700,低楼层(共28层),2009年建板塔结合,南,2017.07.23,6, 距离8号线霍营站311米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845666.html
双榆树租房,双榆树西里,双榆树西里优质两居室，可以长租，价格可以谈。,2室1厅,59平米,7000,中楼层(共16层),1985年建塔楼,西南,2017.07.26,19, 距离4号线人民大学站254米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833468.html
三元桥租房,曙光里,三元桥  家具家电可配  一层带小院 看房方便,1室1厅,36平米,5500,低楼层(共4层),1986年建板楼,东南 西南,2017.07.26,11, 距离10号线太阳宫站884米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833497.html
北七家租房,北亚花园,可短租可长租，随时看房 随时腾房,2室1厅,81平米,3000,高楼层(共6层),2003年建板楼,南 北,2017.07.27,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101804490.html
北工大租房,平乐园小区,平乐园小区 南向大一居 简单装修 带电梯,1室1厅,53平米,4000,高楼层(共18层),1994年建塔楼,南,2017.07.22,10, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101805122.html
右安门外租房,玉林东里三区,交通便利拎包入住地理位置优越。,1室1厅,40平米,4000,低楼层(共6层),1990年建板楼,南,2017.07.25,11, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101829519.html
二里庄租房,志新村,志新村 1室1厅 5500元,1室1厅,50平米,5500,中楼层(共18层),1993年建塔楼,南 北,2017.07.26,13, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101836457.html
西三旗租房,上奥世纪中心,上奥世纪 精装二改三 随时可看 诚心出租,3室1厅,91平米,5600,高楼层(共18层),2011年建板楼,南,2017.07.25,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101805652.html
果园租房,果园北区,果园北区   南北通透三居室   中间楼层   随时可看,3室1厅,90平米,3500,中楼层(共6层),1998年建板楼,南 北,2017.07.23,4, 随时看房,https://bj.lianjia.com/zufang/101101807547.html
右安门外租房,玉林东里三区,丰台区右安门外大街玉林东里三区南北通透两居室,2室1厅,57平米,4700,中楼层(共6层),1990年建板楼,南 北,2017.07.27,15, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101808341.html
潘家园租房,松榆西里,松榆西里  随时可看 简装正规一居室  中高楼层,1室1厅,44平米,4000,中楼层(共6层),1992年建板楼,南,2017.07.27,10, 距离10号线潘家园站767米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101809363.html
广渠门租房,安化南里,安化南里 2室1厅 7000元,2室1厅,69平米,7000,高楼层(共16层),2007年建塔楼,东,2017.07.27,13, 距离7号线广渠门内站799米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101821327.html
紫竹桥租房,北洼东里,北洼东里 3室1厅 8000元,3室1厅,86平米,8000,低楼层(共18层),1998年建塔楼,东 西 北,2017.07.27,13, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101830295.html
